News Site,No of Posts,Average Score,Total Comments,No. of Posts in Top 100
reuters.com,10402,1005.53,941804,2
theguardian.com,5302,794.83,367433,3
bbc.com,3726,406.33,150686,0
youtube.com,3268,0.99,1395,0
youtu.be,3155,0.99,1478,0
apnews.com,2776,826.12,196241,2
aljazeera.com,2121,410.58,91511,0
businessinsider.com,2107,3815.61,562551,12
cnn.com,1944,805.23,155646,3
pravda.com.ua,1702,2857.63,317834,7
newsweek.com,1658,2516.2,369312,4
bbc.co.uk,1637,1032.32,156512,4
timesofisrael.com,1519,1058.52,143717,5
twitter.com,1428,1.06,396,0
edition.cnn.com,1412,1022.95,127421,2
france24.com,1375,784.59,83869,0
msn.com,1357,1242.52,182079,2
dw.com,1225,782.35,76086,0
nytimes.com,1224,742.27,74875,1
news.sky.com,1176,1711.02,193815,3
bloomberg.com,1119,1021.3,105288,1
